6800675
33.165%
1000, 1000
(40, 0), (40, 10000)
(40, 0), (8742, 0)
(40, 10000), (43, 10000)
(43, 0.5), (43, 10000)
(43, 0.5), (55, 0.5)
(55, 0.5), (55, 10000)
(55, 10000), (66, 10000)
(66, 0.5), (66, 10000)
(66, 0.5), (118, 0.5)
(118, 0.5), (118, 10000)
(118, 10000), (131, 10000)
(131, 0.5), (131, 10000)
(131, 0.5), (164, 0.5)
(164, 0.5), (164, 10000)
(164, 10000), (174, 10000)
(174, 0.5), (174, 10000)
(174, 0.5), (185, 0.5)
(185, 0.5), (185, 10000)
(185, 10000), (189, 10000)
(189, 0.5), (189, 10000)
(189, 0.5), (212, 0.5)
(212, 0.5), (212, 10000)
(212, 10000), (216, 10000)
(216, 0.5), (216, 10000)
(216, 0.5), (224, 0.5)
(224, 0.5), (224, 10000)
(224, 10000), (228, 10000)
(228, 0.5), (228, 10000)
(228, 0.5), (230, 0.5)
(230, 0.5), (230, 10000)
(230, 10000), (244, 10000)
(244, 0.5), (244, 10000)
(244, 0.5), (336, 0.5)
(336, 0.5), (336, 10000)
(336, 10000), (346, 10000)
(346, 0.5), (346, 10000)
(346, 0.5), (389, 0.5)
(389, 0.5), (389, 10000)
(389, 10000), (392, 10000)
(392, 0.5), (392, 10000)
(392, 0.5), (466, 0.5)
(466, 0.5), (466, 10000)
(466, 10000), (473, 10000)
(473, 0.5), (473, 10000)
(473, 0.5), (549, 0.5)
(549, 0.5), (549, 10000)
(549, 10000), (552, 10000)
(552, 0.5), (552, 10000)
(552, 0.5), (566, 0.5)
(566, 0.5), (566, 10000)
(566, 10000), (573, 10000)
(573, 0.5), (573, 10000)
(573, 0.5), (579, 0.5)
(579, 0.5), (579, 10000)
(579, 10000), (597, 10000)
(597, 0.5), (597, 10000)
(597, 0.5), (628, 0.5)
(628, 0.5), (628, 10000)
(628, 10000), (632, 10000)
(632, 0.5), (632, 10000)
(632, 0.5), (636, 0.5)
(636, 0.5), (636, 10000)
(636, 10000), (638, 10000)
(638, 0.5), (638, 10000)
(638, 0.5), (683, 0.5)
(683, 0.5), (683, 10000)
