2804808
33.3365%
1000, 1000
(55, 0), (55, 10000)
(55, 0), (174, 0)
(55, 10000), (59, 10000)
(59, 0.5), (59, 10000)
(59, 0.5), (72, 0.5)
(72, 0.5), (72, 10000)
(72, 10000), (74, 10000)
(74, 0.5), (74, 10000)
(74, 0.5), (76, 0.5)
(76, 0.5), (76, 10000)
(76, 10000), (80, 10000)
(80, 0.5), (80, 10000)
(80, 0.5), (84, 0.5)
(84, 0.5), (84, 10000)
(84, 10000), (85, 10000)
(85, 0.5), (85, 10000)
(85, 0.5), (173, 0.5)
(173, 0.5), (173, 10000)
(173, 10000), (250, 10000)
(174, 0), (174, 9999.5)
(174, 9999.5), (248, 9999.5)
(248, 0), (248, 9999.5)
(248, 0), (701, 0)
(250, 0.5), (250, 10000)
(250, 0.5), (254, 0.5)
(254, 0.5), (254, 10000)
(254, 10000), (255, 10000)
(255, 0.5), (255, 10000)
(255, 0.5), (300, 0.5)
(300, 0.5), (300, 10000)
(300, 10000), (306, 10000)
(306, 0.5), (306, 10000)
(306, 0.5), (346, 0.5)
(346, 0.5), (346, 10000)
(346, 10000), (346.5, 10000)
(346.5, 0.5), (346.5, 10000)
(346.5, 0.5), (355, 0.5)
(355, 0.5), (355, 10000)
(355, 10000), (355.5, 10000)
(355.5, 0.5), (355.5, 10000)
(355.5, 0.5), (364, 0.5)
(364, 0.5), (364, 10000)
(364, 10000), (366, 10000)
(366, 0.5), (366, 10000)
(366, 0.5), (437, 0.5)
(437, 0.5), (437, 10000)
(437, 10000), (439, 10000)
(439, 0.5), (439, 10000)
(439, 0.5), (474, 0.5)
(474, 0.5), (474, 10000)
(474, 10000), (474.5, 10000)
(474.5, 0.5), (474.5, 10000)
(474.5, 0.5), (476, 0.5)
(476, 0.5), (476, 10000)
(476, 10000), (478, 10000)
(478, 0.5), (478, 10000)
(478, 0.5), (516, 0.5)
(516, 0.5), (516, 10000)
(516, 10000), (517, 10000)
(517, 0.5), (517, 10000)
(517, 0.5), (552, 0.5)
(552, 0.5), (552, 10000)
(552, 10000), (554, 10000)
(554, 0.5), (554, 10000)
(554, 0.5), (627, 0.5)
(627, 0.5), (627, 10000)
(627, 10000), (627.5, 10000)
(627.5, 0.5), (627.5, 10000)
(627.5, 0.5), (644, 0.5)
(644, 0.5), (644, 10000)
(644, 10000), (644.5, 10000)
(644.5, 0.5), (644.5, 10000)
(644.5, 0.5), (647, 0.5)
(647, 0.5), (647, 10000)
(647, 10000), (650, 10000)
(650, 0.5), (650, 10000)
(650, 0.5), (692, 0.5)
(692, 0.5), (692, 10000)
(692, 10000), (694, 10000)
(694, 0.5), (694, 10000)
(694, 0.5), (698, 0.5)
(698, 0.5), (698, 10000)
(698, 10000), (728, 10000)
(701, 0), (701, 9999.5)
(701, 9999.5), (725, 9999.5)
(725, 0), (725, 9999.5)
(725, 0), (1490, 0)
(728, 0.5), (728, 10000)
(728, 0.5), (742, 0.5)
(742, 0.5), (742, 10000)
(742, 10000), (746, 10000)
(746, 0.5), (746, 10000)
(746, 0.5), (835, 0.5)
(835, 0.5), (835, 10000)
(835, 10000), (835.5, 10000)
(835.5, 0.5), (835.5, 10000)
(835.5, 0.5), (963, 0.5)
(963, 0.5), (963, 10000)
(963, 10000), (963.5, 10000)
(963.5, 0.5), (963.5, 10000)
(963.5, 0.5), (968, 0.5)
(968, 0.5), (968, 10000)
(968, 10000), (969, 10000)
(969, 0.5), (969, 10000)
(969, 0.5), (994, 0.5)
(994, 0.5), (994, 10000)
(994, 10000), (994.5, 10000)
(994.5, 0.5), (994.5, 10000)
(994.5, 0.5), (1015, 0.5)
(1015, 0.5), (1015, 10000)
(1015, 10000), (1020, 10000)
(1020, 0.5), (1020, 10000)
(1020, 0.5), (1032, 0.5)
(1032, 0.5), (1032, 10000)
(1032, 10000), (1034, 10000)
(1034, 0.5), (1034, 10000)
(1034, 0.5), (1043, 0.5)
(1043, 0.5), (1043, 10000)
(1043, 10000), (1043.5, 10000)
(1043.5, 0.5), (1043.5, 10000)
(1043.5, 0.5), (1086, 0.5)
(1086, 0.5), (1086, 10000)
(1086, 10000), (1087, 10000)
(1087, 0.5), (1087, 10000)
(1087, 0.5), (1169, 0.5)
(1169, 0.5), (1169, 10000)
(1169, 10000), (1170, 10000)
(1170, 0.5), (1170, 10000)
(1170, 0.5), (1182, 0.5)
(1182, 0.5), (1182, 10000)
(1182, 10000), (1187, 10000)
(1187, 0.5), (1187, 10000)
(1187, 0.5), (1195, 0.5)
(1195, 0.5), (1195, 10000)
(1195, 10000), (1198, 10000)
(1198, 0.5), (1198, 10000)
(1198, 0.5), (1205, 0.5)
(1205, 0.5), (1205, 10000)
(1205, 10000), (1205.5, 10000)
(1205.5, 0.5), (1205.5, 10000)
(1205.5, 0.5), (1274, 0.5)
(1274, 0.5), (1274, 10000)
(1274, 10000), (1275, 10000)
(1275, 0.5), (1275, 10000)
(1275, 0.5), (1320, 0.5)
(1320, 0.5), (1320, 10000)
(1320, 10000), (1322, 10000)
(1322, 0.5), (1322, 10000)
(1322, 0.5), (1353, 0.5)
(1353, 0.5), (1353, 10000)
(1353, 10000), (1355, 10000)
(1355, 0.5), (1355, 10000)
(1355, 0.5), (1359, 0.5)
(1359, 0.5), (1359, 10000)
(1359, 10000), (1359.5, 10000)
(1359.5, 0.5), (1359.5, 10000)
(1359.5, 0.5), (1388, 0.5)
(1388, 0.5), (1388, 10000)
(1388, 10000), (1391, 10000)
(1391, 0.5), (1391, 10000)
(1391, 0.5), (1393, 0.5)
(1393, 0.5), (1393, 10000)
(1393, 10000), (1395, 10000)
(1395, 0.5), (1395, 10000)
(1395, 0.5), (1436, 0.5)
(1436, 0.5), (1436, 10000)
(1436, 10000), (1439, 10000)
(1439, 0.5), (1439, 10000)
(1439, 0.5), (1487, 0.5)
(1487, 0.5), (1487, 10000)
(1487, 10000), (1570, 10000)
(1490, 0), (1490, 9999.5)
(1490, 9999.5), (1569, 9999.5)
(1569, 0), (1569, 9999.5)
(1569, 0), (9964, 0)
(1570, 0.5), (1570, 10000)
(1570, 0.5), (1572, 0.5)
(1572, 0.5), (1572, 10000)
(1572, 10000), (1572.5, 10000)
(1572.5, 0.5), (1572.5, 10000)
(1572.5, 0.5), (1578, 0.5)
(1578, 0.5), (1578, 10000)
(1578, 10000), (1579, 10000)
(1579, 0.5), (1579, 10000)
(1579, 0.5), (1584, 0.5)
(1584, 0.5), (1584, 10000)
(1584, 10000), (1587, 10000)
(1587, 0.5), (1587, 10000)
(1587, 0.5), (1635, 0.5)
(1635, 0.5), (1635, 10000)
(1635, 10000), (1638, 10000)
(1638, 0.5), (1638, 10000)
(1638, 0.5), (1646, 0.5)
(1646, 0.5), (1646, 10000)
(1646, 10000), (1649, 10000)
(1649, 0.5), (1649, 10000)
(1649, 0.5), (1689, 0.5)
(1689, 0.5), (1689, 10000)
(1689, 10000), (1691, 10000)
(1691, 0.5), (1691, 10000)
(1691, 0.5), (1693, 0.5)
(1693, 0.5), (1693, 10000)
(1693, 10000), (1693.5, 10000)
(1693.5, 0.5), (1693.5, 10000)
(1693.5, 0.5), (1710, 0.5)
(1710, 0.5), (1710, 10000)
(1710, 10000), (1710.5, 10000)
(1710.5, 0.5), (1710.5, 10000)
(1710.5, 0.5), (1738, 0.5)
(1738, 0.5), (1738, 10000)
(1738, 10000), (1738.5, 10000)
(1738.5, 0.5), (1738.5, 10000)
(1738.5, 0.5), (1742, 0.5)
(1742, 0.5), (1742, 10000)
(1742, 10000), (1742.5, 10000)
(1742.5, 0.5), (1742.5, 10000)
(1742.5, 0.5), (1766, 0.5)
(1766, 0.5), (1766, 10000)
(1766, 10000), (1766.5, 10000)
(1766.5, 0.5), (1766.5, 10000)
(1766.5, 0.5), (1781, 0.5)
(1781, 0.5), (1781, 10000)
(1781, 10000), (1781.5, 10000)
(1781.5, 0.5), (1781.5, 10000)
(1781.5, 0.5), (1825, 0.5)
(1825, 0.5), (1825, 10000)
(1825, 10000), (1826, 10000)
(1826, 0.5), (1826, 10000)
(1826, 0.5), (1952, 0.5)
(1952, 0.5), (1952, 10000)
(1952, 10000), (1957, 10000)
(1957, 0.5), (1957, 10000)
(1957, 0.5), (1964, 0.5)
(1964, 0.5), (1964, 10000)
(1964, 10000), (1964.5, 10000)
(1964.5, 0.5), (1964.5, 10000)
(1964.5, 0.5), (2033, 0.5)
(2033, 0.5), (2033, 10000)
(2033, 10000), (2033.5, 10000)
(2033.5, 0.5), (2033.5, 10000)
(2033.5, 0.5), (2042, 0.5)
(2042, 0.5), (2042, 10000)
(2042, 10000), (2044, 10000)
(2044, 0.5), (2044, 10000)
(2044, 0.5), (2152, 0.5)
(2152, 0.5), (2152, 10000)
(2152, 10000), (2156, 10000)
(2156, 0.5), (2156, 10000)
(2156, 0.5), (2181, 0.5)
(2181, 0.5), (2181, 10000)
(2181, 10000), (2182, 10000)
(2182, 0.5), (2182, 10000)
(2182, 0.5), (2201, 0.5)
(2201, 0.5), (2201, 10000)
(2201, 10000), (2202, 10000)
(2202, 0.5), (2202, 10000)
(2202, 0.5), (2224, 0.5)
(2224, 0.5), (2224, 10000)
(2224, 10000), (2226, 10000)
(2226, 0.5), (2226, 10000)
(2226, 0.5), (2243, 0.5)
(2243, 0.5), (2243, 10000)
(2243, 10000), (2243.5, 10000)
(2243.5, 0.5), (2243.5, 10000)
(2243.5, 0.5), (2333, 0.5)
(2333, 0.5), (2333, 10000)
(2333, 10000), (2336, 10000)
(2336, 0.5), (2336, 10000)
(2336, 0.5), (2345, 0.5)
(2345, 0.5), (2345, 10000)
(2345, 10000), (2346, 10000)
(2346, 0.5), (2346, 10000)
(2346, 0.5), (2348, 0.5)
(2348, 0.5), (2348, 10000)
(2348, 10000), (2348.5, 10000)
(2348.5, 0.5), (2348.5, 10000)
(2348.5, 0.5), (2390, 0.5)
(2390, 0.5), (2390, 10000)
(2390, 10000), (2390.5, 10000)
(2390.5, 0.5), (2390.5, 10000)
(2390.5, 0.5), (2418, 0.5)
(2418, 0.5), (2418, 10000)
(2418, 10000), (2418.5, 10000)
(2418.5, 0.5), (2418.5, 10000)
(2418.5, 0.5), (2427, 0.5)
(2427, 0.5), (2427, 10000)
(2427, 10000), (2432, 10000)
(2432, 0.5), (2432, 10000)
(2432, 0.5), (2678, 0.5)
(2678, 0.5), (2678, 10000)
(2678, 10000), (2679, 10000)
(2679, 0.5), (2679, 10000)
(2679, 0.5), (2765, 0.5)
(2765, 0.5), (2765, 10000)
(2765, 10000), (2771, 10000)
(2771, 0.5), (2771, 10000)
(2771, 0.5), (2813, 0.5)
(2813, 0.5), (2813, 10000)
(2813, 10000), (2813.5, 10000)
(2813.5, 0.5), (2813.5, 10000)
(2813.5, 0.5), (2826, 0.5)
(2826, 0.5), (2826, 10000)
(2826, 10000), (2827, 10000)
(2827, 0.5), (2827, 10000)
(2827, 0.5), (2872, 0.5)
(2872, 0.5), (2872, 10000)
(2872, 10000), (2875, 10000)
(2875, 0.5), (2875, 10000)
(2875, 0.5), (2878, 0.5)
(2878, 0.5), (2878, 10000)
(2878, 10000), (2880, 10000)
(2880, 0.5), (2880, 10000)
(2880, 0.5), (2977, 0.5)
(2977, 0.5), (2977, 10000)
(2977, 10000), (2979, 10000)
(2979, 0.5), (2979, 10000)
(2979, 0.5), (3009, 0.5)
(3009, 0.5), (3009, 10000)
(3009, 10000), (3012, 10000)
(3012, 0.5), (3012, 10000)
(3012, 0.5), (3015, 0.5)
(3015, 0.5), (3015, 10000)
(3015, 10000), (3017, 10000)
(3017, 0.5), (3017, 10000)
(3017, 0.5), (3028, 0.5)
(3028, 0.5), (3028, 10000)
(3028, 10000), (3028.5, 10000)
(3028.5, 0.5), (3028.5, 10000)
(3028.5, 0.5), (3038, 0.5)
(3038, 0.5), (3038, 10000)
(3038, 10000), (3039, 10000)
(3039, 0.5), (3039, 10000)
(3039, 0.5), (3054, 0.5)
(3054, 0.5), (3054, 10000)
(3054, 10000), (3056, 10000)
