4720305
31.7292%
1000, 1000
(5, 0), (5, 10000)
(5, 0), (9995, 0)
(5, 10000), (7, 10000)
(7, 0.5), (7, 10000)
(7, 0.5), (21, 0.5)
(21, 0.5), (21, 10000)
(21, 10000), (23, 10000)
(23, 0.5), (23, 10000)
(23, 0.5), (41, 0.5)
(41, 0.5), (41, 10000)
(41, 10000), (43, 10000)
(43, 0.5), (43, 10000)
(43, 0.5), (70, 0.5)
(70, 0.5), (70, 10000)
(70, 10000), (71, 10000)
(71, 0.5), (71, 10000)
(71, 0.5), (174, 0.5)
(174, 0.5), (174, 10000)
(174, 10000), (181, 10000)
(181, 0.5), (181, 10000)
(181, 0.5), (195, 0.5)
(195, 0.5), (195, 10000)
(195, 10000), (202, 10000)
(202, 0.5), (202, 10000)
(202, 0.5), (225, 0.5)
(225, 0.5), (225, 10000)
(225, 10000), (231, 10000)
(231, 0.5), (231, 10000)
(231, 0.5), (233, 0.5)
(233, 0.5), (233, 10000)
(233, 10000), (235, 10000)
(235, 0.5), (235, 10000)
(235, 0.5), (268, 0.5)
(268, 0.5), (268, 10000)
(268, 10000), (268.5, 10000)
(268.5, 0.5), (268.5, 10000)
(268.5, 0.5), (454, 0.5)
(454, 0.5), (454, 10000)
(454, 10000), (458, 10000)
(458, 0.5), (458, 10000)
(458, 0.5), (492, 0.5)
(492, 0.5), (492, 10000)
(492, 10000), (495, 10000)
(495, 0.5), (495, 10000)
(495, 0.5), (517, 0.5)
(517, 0.5), (517, 10000)
(517, 10000), (520, 10000)
(520, 0.5), (520, 10000)
(520, 0.5), (524, 0.5)
(524, 0.5), (524, 10000)
(524, 10000), (529, 10000)
(529, 0.5), (529, 10000)
(529, 0.5), (531, 0.5)
(531, 0.5), (531, 10000)
(531, 10000), (534, 10000)
(534, 0.5), (534, 10000)
(534, 0.5), (719, 0.5)
(719, 0.5), (719, 10000)
(719, 10000), (722, 10000)
(722, 0.5), (722, 10000)
(722, 0.5), (730, 0.5)
(730, 0.5), (730, 10000)
(730, 10000), (734, 10000)
(734, 0.5), (734, 10000)
(734, 0.5), (736, 0.5)
(736, 0.5), (736, 10000)
(736, 10000), (736.5, 10000)
(736.5, 0.5), (736.5, 10000)
(736.5, 0.5), (790, 0.5)
(790, 0.5), (790, 10000)
(790, 10000), (791, 10000)
(791, 0.5), (791, 10000)
(791, 0.5), (835, 0.5)
(835, 0.5), (835, 10000)
(835, 10000), (840, 10000)
(840, 0.5), (840, 10000)
(840, 0.5), (848, 0.5)
(848, 0.5), (848, 10000)
(848, 10000), (857, 10000)
(857, 0.5), (857, 10000)
(857, 0.5), (868, 0.5)
(868, 0.5), (868, 10000)
(868, 10000), (879, 10000)
(879, 0.5), (879, 10000)
(879, 0.5), (892, 0.5)
(892, 0.5), (892, 10000)
(892, 10000), (899, 10000)
(899, 0.5), (899, 10000)
(899, 0.5), (915, 0.5)
(915, 0.5), (915, 10000)
(915, 10000), (920, 10000)
(920, 0.5), (920, 10000)
(920, 0.5), (973, 0.5)
(973, 0.5), (973, 10000)
(973, 10000), (975, 10000)
(975, 0.5), (975, 10000)
(975, 0.5), (998, 0.5)
(998, 0.5), (998, 10000)
(998, 10000), (1006, 10000)
(1006, 0.5), (1006, 10000)
(1006, 0.5), (1008, 0.5)
(1008, 0.5), (1008, 10000)
(1008, 10000), (1010, 10000)
(1010, 0.5), (1010, 10000)
(1010, 0.5), (1049, 0.5)
(1049, 0.5), (1049, 10000)
(1049, 10000), (1053, 10000)
(1053, 0.5), (1053, 10000)
(1053, 0.5), (1064, 0.5)
