7297440
33.9695%
1000, 1000
(6, 0), (6, 10000)
(6, 0), (9979, 0)
(6, 10000), (10, 10000)
(10, 0.5), (10, 10000)
(10, 0.5), (61, 0.5)
(61, 0.5), (61, 10000)
(61, 10000), (77, 10000)
(77, 0.5), (77, 10000)
(77, 0.5), (92, 0.5)
(92, 0.5), (92, 10000)
(92, 10000), (101, 10000)
(101, 0.5), (101, 10000)
(101, 0.5), (135, 0.5)
(135, 0.5), (135, 10000)
(135, 10000), (143, 10000)
(143, 0.5), (143, 10000)
(143, 0.5), (152, 0.5)
(152, 0.5), (152, 10000)
(152, 10000), (157, 10000)
(157, 0.5), (157, 10000)
(157, 0.5), (199, 0.5)
(199, 0.5), (199, 10000)
(199, 10000), (207, 10000)
(207, 0.5), (207, 10000)
(207, 0.5), (209, 0.5)
(209, 0.5), (209, 10000)
(209, 10000), (219, 10000)
(219, 0.5), (219, 10000)
(219, 0.5), (244, 0.5)
(244, 0.5), (244, 10000)
(244, 10000), (247, 10000)
(247, 0.5), (247, 10000)
(247, 0.5), (256, 0.5)
(256, 0.5), (256, 10000)
(256, 10000), (269, 10000)
(269, 0.5), (269, 10000)
(269, 0.5), (308, 0.5)
(308, 0.5), (308, 10000)
(308, 10000), (312, 10000)
(312, 0.5), (312, 10000)
(312, 0.5), (343, 0.5)
(343, 0.5), (343, 10000)
(343, 10000), (347, 10000)
(347, 0.5), (347, 10000)
(347, 0.5), (358, 0.5)
(358, 0.5), (358, 10000)
(358, 10000), (368, 10000)
(368, 0.5), (368, 10000)
(368, 0.5), (370, 0.5)
(370, 0.5), (370, 10000)
(370, 10000), (372, 10000)
(372, 0.5), (372, 10000)
(372, 0.5), (461, 0.5)
(461, 0.5), (461, 10000)
(461, 10000), (475, 10000)
(475, 0.5), (475, 10000)
(475, 0.5), (525, 0.5)
(525, 0.5), (525, 10000)
(525, 10000), (533, 10000)
(533, 0.5), (533, 10000)
(533, 0.5), (577, 0.5)
(577, 0.5), (577, 10000)
(577, 10000), (582, 10000)
(582, 0.5), (582, 10000)
(582, 0.5), (594, 0.5)
(594, 0.5), (594, 10000)
(594, 10000), (598, 10000)
(598, 0.5), (598, 10000)
(598, 0.5), (659, 0.5)
(659, 0.5), (659, 10000)
(659, 10000), (667, 10000)
(667, 0.5), (667, 10000)
(667, 0.5), (692, 0.5)
(692, 0.5), (692, 10000)
(692, 10000), (693, 10000)
(693, 0.5), (693, 10000)
(693, 0.5), (728, 0.5)
(728, 0.5), (728, 10000)
