2118983
41.7489%
1000, 1000
(28, 0), (28, 10000)
(28, 0), (9984, 0)
(28, 10000), (31, 10000)
(31, 0.5), (31, 10000)
(31, 0.5), (72, 0.5)
(72, 0.5), (72, 10000)
(72, 10000), (74, 10000)
(74, 0.5), (74, 10000)
(74, 0.5), (87, 0.5)
(87, 0.5), (87, 10000)
(87, 10000), (90, 10000)
(90, 0.5), (90, 10000)
(90, 0.5), (156, 0.5)
(156, 0.5), (156, 10000)
(156, 10000), (156.5, 10000)
(156.5, 0.5), (156.5, 10000)
(156.5, 0.5), (183, 0.5)
(183, 0.5), (183, 10000)
(183, 10000), (185, 10000)
(185, 0.5), (185, 10000)
(185, 0.5), (209, 0.5)
(209, 0.5), (209, 10000)
(209, 10000), (212, 10000)
(212, 0.5), (212, 10000)
(212, 0.5), (245, 0.5)
(245, 0.5), (245, 10000)
(245, 10000), (245.5, 10000)
(245.5, 0.5), (245.5, 10000)
(245.5, 0.5), (314, 0.5)
(314, 0.5), (314, 10000)
(314, 10000), (314.5, 10000)
(314.5, 0.5), (314.5, 10000)
(314.5, 0.5), (319, 0.5)
(319, 0.5), (319, 10000)
(319, 10000), (319.5, 10000)
(319.5, 0.5), (319.5, 10000)
(319.5, 0.5), (333, 0.5)
(333, 0.5), (333, 10000)
(333, 10000), (333.5, 10000)
(333.5, 0.5), (333.5, 10000)
(333.5, 0.5), (355, 0.5)
(355, 0.5), (355, 10000)
(355, 10000), (356, 10000)
(356, 0.5), (356, 10000)
(356, 0.5), (378, 0.5)
(378, 0.5), (378, 10000)
(378, 10000), (379, 10000)
(379, 0.5), (379, 10000)
(379, 0.5), (390, 0.5)
(390, 0.5), (390, 10000)
(390, 10000), (392, 10000)
(392, 0.5), (392, 10000)
(392, 0.5), (498, 0.5)
(498, 0.5), (498, 10000)
(498, 10000), (498.5, 10000)
(498.5, 0.5), (498.5, 10000)
(498.5, 0.5), (503, 0.5)
(503, 0.5), (503, 10000)
(503, 10000), (505, 10000)
(505, 0.5), (505, 10000)
(505, 0.5), (514, 0.5)
(514, 0.5), (514, 10000)
(514, 10000), (514.5, 10000)
(514.5, 0.5), (514.5, 10000)
(514.5, 0.5), (516, 0.5)
(516, 0.5), (516, 10000)
(516, 10000), (516.5, 10000)
(516.5, 0.5), (516.5, 10000)
(516.5, 0.5), (585, 0.5)
(585, 0.5), (585, 10000)
(585, 10000), (586, 10000)
(586, 0.5), (586, 10000)
(586, 0.5), (599, 0.5)
(599, 0.5), (599, 10000)
(599, 10000), (599.5, 10000)
(599.5, 0.5), (599.5, 10000)
(599.5, 0.5), (619, 0.5)
(619, 0.5), (619, 10000)
(619, 10000), (622, 10000)
(622, 0.5), (622, 10000)
(622, 0.5), (660, 0.5)
(660, 0.5), (660, 10000)
(660, 10000), (660.5, 10000)
(660.5, 0.5), (660.5, 10000)
(660.5, 0.5), (671, 0.5)
(671, 0.5), (671, 10000)
(671, 10000), (675, 10000)
(675, 0.5), (675, 10000)
(675, 0.5), (687, 0.5)
(687, 0.5), (687, 10000)
(687, 10000), (690, 10000)
(690, 0.5), (690, 10000)
(690, 0.5), (722, 0.5)
(722, 0.5), (722, 10000)
(722, 10000), (724, 10000)
(724, 0.5), (724, 10000)
(724, 0.5), (800, 0.5)
(800, 0.5), (800, 10000)
(800, 10000), (801, 10000)
(801, 0.5), (801, 10000)
(801, 0.5), (806, 0.5)
(806, 0.5), (806, 10000)
(806, 10000), (806.5, 10000)
(806.5, 0.5), (806.5, 10000)
(806.5, 0.5), (962, 0.5)
(962, 0.5), (962, 10000)
(962, 10000), (962.5, 10000)
(962.5, 0.5), (962.5, 10000)
(962.5, 0.5), (964, 0.5)
(964, 0.5), (964, 10000)
(964, 10000), (966, 10000)
(966, 0.5), (966, 10000)
(966, 0.5), (1000, 0.5)
(1000, 0.5), (1000, 10000)
(1000, 10000), (1002, 10000)
(1002, 0.5), (1002, 10000)
(1002, 0.5), (1005, 0.5)
(1005, 0.5), (1005, 10000)
(1005, 10000), (1006, 10000)
(1006, 0.5), (1006, 10000)
(1006, 0.5), (1011, 0.5)
(1011, 0.5), (1011, 10000)
(1011, 10000), (1012, 10000)
(1012, 0.5), (1012, 10000)
(1012, 0.5), (1111, 0.5)
(1111, 0.5), (1111, 10000)
(1111, 10000), (1111.5, 10000)
(1111.5, 0.5), (1111.5, 10000)
(1111.5, 0.5), (1135, 0.5)
(1135, 0.5), (1135, 10000)
(1135, 10000), (1135.5, 10000)
(1135.5, 0.5), (1135.5, 10000)
(1135.5, 0.5), (1153, 0.5)
(1153, 0.5), (1153, 10000)
(1153, 10000), (1156, 10000)
(1156, 0.5), (1156, 10000)
(1156, 0.5), (1179, 0.5)
(1179, 0.5), (1179, 10000)
(1179, 10000), (1181, 10000)
(1181, 0.5), (1181, 10000)
(1181, 0.5), (1339, 0.5)
(1339, 0.5), (1339, 10000)
(1339, 10000), (1341, 10000)
(1341, 0.5), (1341, 10000)
(1341, 0.5), (1365, 0.5)
(1365, 0.5), (1365, 10000)
(1365, 10000), (1365.5, 10000)
(1365.5, 0.5), (1365.5, 10000)
(1365.5, 0.5), (1391, 0.5)
(1391, 0.5), (1391, 10000)
(1391, 10000), (1391.5, 10000)
(1391.5, 0.5), (1391.5, 10000)
(1391.5, 0.5), (1457, 0.5)
(1457, 0.5), (1457, 10000)
(1457, 10000), (1461, 10000)
(1461, 0.5), (1461, 10000)
(1461, 0.5), (1490, 0.5)
(1490, 0.5), (1490, 10000)
(1490, 10000), (1491, 10000)
(1491, 0.5), (1491, 10000)
(1491, 0.5), (1701, 0.5)
(1701, 0.5), (1701, 10000)
(1701, 10000), (1702, 10000)
